Implementación,Throughput Promedio (MB/s),Throughput Máximo (MB/s),Latencia p99 Promedio (ms),Latencia p99 Mínima (ms),Desv. Estándar Promedio
Baseline,189.16972718518517,307.180204,1.306168888888889,0.6239573333333334,7.213725042319173
ML,230.5365938148148,439.44920866666666,9.03623111111111,0.5748053333333334,10.748531927237703
