64, 64165618, 0, 131072, 0
65, 65227485, 0, 131072, 0
66, 65548777, 0, 131072, 0
67, 66297093, 0, 131072, 0
67, 3054736, 0, 131072, 0
68, 2535679, 0, 131072, 0
69, 2999725, 0, 131072, 0
70, 3178666, 0, 131072, 0
70, 2713147, 0, 131072, 0
71, 3061229, 0, 131072, 0
72, 2963904, 0, 131072, 0
73, 2657282, 0, 131072, 0
73, 2892750, 0, 131072, 0
74, 2816777, 0, 131072, 0
75, 2818877, 0, 131072, 0
75, 2446689, 0, 131072, 0
76, 2996887, 0, 131072, 0
77, 3117724, 0, 131072, 0
78, 2470845, 0, 131072, 0
78, 2977827, 0, 131072, 0
